WEATHER,LOCATION,DATE,TAVG,TMAX,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/22/2000,58,72,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/23/2000,68,76,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/24/2000,59,66,51
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/25/2000,51,56,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/26/2000,50,56,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/27/2000,54,66,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/28/2000,50,58,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/29/2000,51,65,37
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/30/2000,57,70,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/1/2000,59,71,47
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/2/2000,63,77,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/3/2000,69,76,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/4/2000,69,80,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/5/2000,63,70,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/6/2000,56,65,47
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/7/2000,43,49,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/8/2000,37,41,32
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/9/2000,40,44,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/10/2000,49,58,40
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/11/2000,53,64,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/12/2000,53,67,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/13/2000,55,71,39
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/14/2000,62,75,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/15/2000,63,69,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/16/2000,61,66,56
