WEATHER,LOCATION,DATE,TMAX,TAVG,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/6/2010,,79,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/7/2010,,91,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/8/2010,,76,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/9/2010,,69,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/10/2010,,70,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/11/2010,,81,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/12/2010,,73,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/13/2010,,81,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/14/2010,,76,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/15/2010,,78,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/16/2010,,68,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/17/2010,,66,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/18/2010,,76,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/19/2010,,81,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/20/2010,,72,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/21/2010,,85,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/22/2010,,89,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/23/2010,,88,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/24/2010,,90,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/25/2010,,74,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/26/2010,,65,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/27/2010,,69,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/28/2010,,63,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/29/2010,,66,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/30/2010,,62,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/1/2010,,66,51
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/2/2010,,66,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/3/2010,,58,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/4/2010,,49,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/5/2010,,50,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/6/2010,,51,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/7/2010,,67,47
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/8/2010,,73,43
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/9/2010,,77,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/10/2010,,82,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/11/2010,,80,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/12/2010,,70,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/13/2010,,68,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/14/2010,,59,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/15/2010,,57,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10/16/2010,,62,43
